Source_Page,Table_Index,Party,1946,1946,1950,1950,1954,1954,1958,1958,1962,1962,1966,1966,1970,1970,1974,1974,1978,1978,1982,1982,1986,1986,1990,1990,1994,1994,1998,1998,2003,2003,2008,2008,2013,2013,2018,2018,2023,2023
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Bayern,1,Wahlbe­teiligung,"75,7",180,"79,9",204,"82,4",204,"76,6",204,"76,5",204,"80,6",204,"79,5",204,"77,7",204,"76,7",204,"78,0",204,"70,3",204,"65,9",204,"67,9",204,"70,0",204,"57,1",180,"57,9",187,"63,6",180,"72,4",205,"73,3",203
Bayern,1,CSU,"52,3",104,"27,4",64,"38,0",83,"45,6",101,"47,5",108,"48,1",110,"56,4",124,"62,1",132,"59,1",129,"58,3",133,"55,8",128,"54,9",127,"52,8",120,"52,9",123,"60,7",124,"43,4",92,"47,7",101,"37,2",85,"37,0",85
Bayern,1,SPD,"28,6",54,"28,0",63,"28,1",61,"30,8",64,"35,3",79,"35,8",79,"33,3",70,"30,2",64,"31,4",65,"31,9",71,"27,5",61,"26,0",58,"30,0",70,"28,7",67,"19,6",41,"18,6",39,"20,6",42,"9,7",22,"8,4",17
Bayern,1,FDP,"5,6",9,"7,1",12,"7,2",13,"5,6",8,"5,9",9,"5,1",–,"5,5",10,"5,2",8,"6,2",10,"3,5",–,"3,8",–,"5,2",7,"2,8",–,"1,7",–,"2,6",–,"8,0",16,"3,3",–,"5,1",11,"3,0",–
Bayern,1,GRÜNE,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,8",–,"4,6",–,"7,5",15,"6,4",12,"6,1",14,"5,7",14,"7,7",15,"9,4",19,"8,6",18,"17,5",38,"14,4",32
Bayern,1,REP,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,0",–,"4,9",–,"3,9",–,"3,6",–,"2,2",–,"1,4",–,"1,0",–,–,–,–,–
Bayern,1,ödp/ÖDP,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,4",–,"0,7",–,"1,7",–,"2,1",–,"1,8",–,"2,0",–,"2,0",–,"2,0",–,"1,6",–,"1,8",–
Bayern,1,FW,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,7",–,"4,0",–,"10,2",21,"9,0",19,"11,6",27,"15,8",37
Bayern,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"10,2",22,"14,6",32
Bayern,1,DIE LINKE,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"4,4",–,"2,1",–,"3,2",–,"1,5",–
Bayern,1,KPD/DKP¹,"6,1",–,"1,9",–,"2,1",–,–,–,–,–,–,–,"0,4",–,"0,4",–,"0,3",–,"0,2",–,–,–,–,–,–,–,"0,0",–,–,–,–,–,–,–,–,–,–,–
Bayern,1,DRP/NPD²,–,–,–,–,–,–,"0,4",–,–,–,"7,4",15,"2,9",–,"1,1",–,"0,6",–,"0,6",–,"0,5",–,–,–,"0,1",–,"0,2",–,–,–,"1,2",–,"0,6",–,–,–,–,–
Bayern,1,GB/BHE,–,–,"12,3",26,"10,2",19,"8,6",17,"5,1",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Bayern,1,WAV,"7,4",13,"2,8",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Bayern,1,BP,–,–,"17,9",39,"13,2",28,"8,1",14,"4,8",8,"3,4",-,"1,5",–,"0,8",–,"0,4",–,"0,5",–,"0,6",–,"0,8",–,"1,0",–,"0,7",–,"0,8",–,"1,1",–,"2,1",–,"1,7",–,"0,9",–
Bayern,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,0",–,"0,4",–,–,–
Bayern,1,Sonstige,–,–,"2,6",–,"1,2",–,"0,9",–,"1,4",–,"0,1",–,-,–,"0,3",–,"0,1",–,"0,4",–,"1,3",–,"0,1",–,"1,2",–,"1,0",–,"0,4",–,"0,4",–,"0,9",–,"1,7",–,"2,4",–