Source_Page,Table_Index,Party,1950,1950,1954,1954,1958,1958,1963,1963,1967,1967,1971,1971,1975,1975,1979,1979,1981,1981,1985,1985,1989,1989,1990,1990,1995,1995,1999,1999,2001,2001,2006,2006,2011,2011,2016,2016,2021,2021,2023,2023
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Berlin,1,Wahlbeteiligung,"90,4",127,"91,8",127,"92,9",133,"89,9",140,"86,2",137,"88,9",138,"87,8",147,"85,4",135,"85,3",133,"83,6",144,"79,6",138,"80,8",241,"68,6",206,"65,5",169,"68,1",141,"58,0",149,"60,2",149,"66,9",160,"75,4",147,"63,0",
Berlin,1,CDU,"24,7",34,"30,4",44,"37,7",55,"28,8",41,"32,9",47,"38,2",54,"43,9",69,"44,4",63,"48,0",65,"46,4",69,"37,7",55,"40,4",101,"37,4",87,"40,8",76,"23,8",35,"21,3",37,"23,4",39,"17,6",31,"18,0",30,"28,2",52
Berlin,1,SPD,"44,7",61,"44,6",64,"52,6",78,"61,9",89,"56,9",81,"50,4",73,"42,6",67,"42,7",61,"38,4",52,"32,4",48,"37,3",55,"30,4",76,"23,6",55,"22,4",42,"29,7",44,"30,8",53,"28,3",47,"21,6",38,"21,4",36,"18,4",34
Berlin,1,FDP,"23,1",32,"12,8",19,"3,8",–,"7,9",10,"7,1",9,"8,4",11,"7,1",11,"8,1",11,"5,6",7,"8,5",12,"3,9",–,"7,1",18,"2,5",–,"2,2",–,"9,9",15,"7,6",13,"1,8",–,"6,7",12,"7,1",12,"4,6",–
Berlin,1,GRÜNE¹,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,7",–,"7,2",9,"10,6",15,"11,8",17,"5,0",12,"13,2",30,"9,9",18,"9,1",14,"13,1",23,"17,6",29,"15,2",27,"18,9",32,"18,4",34
Berlin,1,PDS/Die Linke.,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"9,2",23,"14,6",34,"17,7",33,"22,6",33,"13,4",23,"11,7",19,"15,6",27,"14,1",24,"12,2",22
Berlin,1,REP,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"7,5",11,"3,1",–,"2,6",–,"2,7",–,"1,3",–,"0,9",–,–,–,–,–,"0,0",–,"0,0",–
Berlin,1,Bündnis 90,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"4,4",11,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Berlin,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"8,9",15,"1,7",–,"0,4",–,"0,3",–
Berlin,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"14,2",25,"8,0",13,"9,1",17
Berlin,1,DP,"3,7",–,"4,9",–,"3,3",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Berlin,1,BHE,"2,2",–,"2,5",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Berlin,1,SED/SEW²,–,–,"2,7",–,"1,9",–,"1,4",–,"2,9",–,"2,3",–,"1,8",–,"1,1",–,"0,7",–,"0,6",–,"0,6",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Berlin,1,FREIE WÄHLER,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,8",–,"0,3",–
Berlin,1,Sonstige,"1,8",–,"2,1",–,"0,7",–,–,–,"1,1",–,"0,6",–,"4,6",–,"0,1",–,"0,3",–,"1,5",–,"1,2",–,"0,4",–,"5,8",–,"4,3",–,"3,6",–,"12,8",–,"8,3",–,"7,4",–,,–,,–