Source_Page,Table_Index,Party,1946,1946,1947,1947,1951,1951,1955,1955,1959,1959,1963,1963,1967,1967,1971,1971,1975,1975,1979,1979,1983,1983,1987,1987,1991,1991,1995,1995,1999,1999,2003,2003,2007,2007,2011,2011,2015,2015,2019,2019,2023,2023
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Bremen,1,Wahlbeteiligung,"85,2",80,"67,8",100,"83,3",100,"84,0",100,"79,2",100,"76,1",100,"77,0",100,"80,0",100,"82,2",100,"78,5",100,"79,7",100,"75,5",100,"72,2",100,"68,6",100,"60,1",100,"61,3",83,"57,6",83,"55,5",83,"50,2",83,"64,1",84,"56,9",87
Bremen,1,SPD,"47,6",51,"41,7",46,"39,1",43,"47,8",52,"54,9",61,"54,7",57,"46,0",50,"55,3",59,"48,8",52,"49,4",52,"51,3",58,"50,5",54,"38,8",41,"33,4",37,"42,6",47,"42,3",40,"36,7",32,"38,6",36,"32,8",30,"24,9",23,"29,8",27
Bremen,1,CDU,"18,9",12,"22,0",24,"9,1",9,"18,0",18,"14,8",16,"28,9",31,"29,5",32,"31,6",34,"33,8",35,"31,9",33,"33,3",37,"23,4",25,"30,7",32,"32,6",37,"37,1",42,"29,8",29,"25,6",23,"20,4",20,"22,4",20,"26,7",24,"26,2",24
Bremen,1,FDP2,"18,3",12,"19,4",17,"11,8",12,"8,6",8,"7,2",7,"8,4",8,"10,5",10,"7,1",7,"13,0",13,"10,8",11,"4,6",–,"10,0",10,"9,5",10,"3,4",–,"2,5",–,"4,2",1,"6,0",5,"2,4",–,"6,6",6,"5,9",5,"5,1",5
Bremen,1,GRÜNE3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,1",4,"5,4",5,"10,2",10,"11,4",11,"13,1",14,"9,0",10,"12,8",12,"16,5",14,"22,5",21,"15,1",14,"17,4",16,"11,9",11
Bremen,1,PDS/DIE LINKE4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,4",–,"2,9",–,"1,7",–,"8,4",7,"5,6",5,"9,5",8,"11,3",10,"10,9",10
Bremen,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,5",4,"6,1",5,–,–
Bremen,1,KPD/DKP5,"11,5",3,"8,8",10,"6,4",6,"5,0",4,–,–,–,–,–,–,"3,1",–,"2,1",–,"0,8",–,–,–,"0,6",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Bremen,1,SRP/NPD/DVU6,–,–,–,–,"7,7",8,–,–,–,–,–,–,"8,8",8,"2,8",–,"1,1",–,"0,4",–,–,–,"3,4",1,"6,2",6,"2,5",–,"3,0",1,"2,3",1,"2,7",1,"1,6",–,"0,2",–,–,–,–,–
Bremen,1,DP,–,–,"3,9",3,"14,7",16,"16,6",18,"14,5",16,"5,2",4,"0,9",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,5",–,–,–,–,–,–,–,–,–,–,–
Bremen,1,GB/BHE,–,–,–,–,"5,6",2,"2,9",–,"1,9",–,"0,2",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Bremen,1,WdF,–,–,–,–,"4,3",4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Bremen,1,AFB,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"10,7",12,"2,4",–,–,–,–,–,–,–,–,–,–,–,–,–
Bremen,1,Schill,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"4,4",–,–,–,–,–,–,–,–,–,–,–
Bremen,1,BIW,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,8",1,"3,7",1,"3,2",1,"2,4",1,"9,4",10
Bremen,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,9",–,"1,5",–,"1,0",–,"0,2",–
Bremen,1,Sonstige,"3,7",2,"4,2",–,"1,3",–,"1,1",–,"6,7",–,"2,6",–,"4,8",–,"0,1",–,"1,2",–,"1,6",–,"5,3",–,"1,8",–,"3,5",–,"2,1",–,"0,5",–,"2,1",–,"3,1",–,"3,4",–,"3,1",–,"4,2",–,"6,6",–