Source_Page,Table_Index,Party,1946,1946,1949,1949,1953,1953,1957,1957,1961,1961,1966,1966,1970,1970,1974,1974,1978,1978,1982 (I),1982 (I),1982 (II),1982 (II),1986,1986,1987,1987,1991,1991,1993,1993,1997,1997,2001,2001,2004,2004,2008,2008,2011,2011,2015,2015,2020,2020
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Hamburg,1,Wahlbeteiligung,"79,0",110,"70,5",120,"80,9",120,"77,3",120,"72,3",120,"69,8",120,"73,4",120,"80,4",120,"76,7",120,"77,9",120,"84,0",120,"78,1",120,"79,6",120,"66,1",121,"69,6",121,"69,5",121,"71,0",121,"68,7",121,"63,5",121,"57,3",121,"56,5",121,"63,2",123
Hamburg,1,CDU1,"26,7",16,"34,5",40,"50,0",62,"32,2",41,"29,1",36,"30,0",38,"32,8",41,"40,6",51,"37,6",51,"43,2",56,"38,6",48,"41,9",54,"40,5",49,"35,1",44,"25,1",36,"30,7",46,"26,2",33,"47,2",63,"42,6",56,"21,9",28,"15,9",20,"11,2",15
Hamburg,1,SPD,"43,1",83,"42,8",65,"45,2",58,"53,9",69,"57,4",72,"59,0",74,"55,3",70,"45,0",56,"51,5",69,"42,7",55,"51,3",64,"41,7",53,"45,0",55,"48,0",61,"40,4",58,"36,2",54,"36,5",46,"30,5",41,"34,1",45,"48,4",62,"45,6",58,"39,2",54
Hamburg,1,FDP,"18,2",7,–,–,–,–,"8,6",10,"9,6",12,"6,8",8,"7,1",9,"10,9",13,"4,8",–,"4,9",–,"2,6",–,"4,8",–,"6,5",8,"5,4",7,"4,2",–,"3,5",–,"5,1",6,"2,8",–,"4,8",–,"6,7",9,"7,4",9,"4,97",1
Hamburg,1,GRÜNE/GAL2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"4,5",–,"7,7",9,"6,8",8,"10,4",13,"7,0",8,"7,2",9,"13,5",19,"13,9",21,"8,6",11,"12,3",17,"9,6",12,"11,2",14,"12,3",15,"24,2",33
Hamburg,1,Schill/Offensive3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"19,4",25,"0,4",–,–,–,–,–,–,–,–,–
Hamburg,1,DIE LINKE4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,5",–,"0,5",–,"0,7",–,"0,4",–,–,–,"6,4",8,"6,4",8,"8,5",11,"9,1",13
Hamburg,1,STATT-Partei,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,6",8,"3,8",–,"0,4",–,–,–,–,–,–,–,–,–,–,–
Hamburg,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"6,1",8,"5,3",7
Hamburg,1,DRP/NPD6,–,–,–,–,"0,7",–,"0,4",–,"0,9",–,"3,9",–,"2,7",–,"0,8",–,"0,3",–,–,–,–,–,–,–,–,–,–,–,–,–,"0,1",–,–,–,"0,3",–,–,–,"0,9",–,"0,3",–,–,–
Hamburg,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,1",–,"1,6",–,"0,5",–
Hamburg,1,KPD/DKP5,"10,4",4,"7,4",5,"3,2",–,–,–,–,–,–,–,"1,7",–,"2,2",–,"1,0",–,"0,6",–,"0,4",–,"0,2",–,–,–,"0,1",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Hamburg,1,DP,–,–,"13,3",9,–,–,"4,1",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,0",–,–,–,–,–,–,–,–,–,–,–,–,–
Hamburg,1,REP,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,2",–,"4,8",–,"1,8",–,"0,1",–,–,–,–,–,–,–,–,–,–,–
Hamburg,1,DVU,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,8",–,"4,98",–,"0,7",–,–,–,"0,8",–,–,–,–,–,–,–
Hamburg,1,Sonstige,"1,6",–,"2,0",1,"0,9",–,"0,8",–,"3,0",–,"0,3",–,"0,4",–,"0,6",–,–,–,"0,9",–,"0,3",–,"0,9",–,"1,0",–,"2,5",–,"3,1",–,"4,2",–,"2,6",–,"6,5",–,"1,7",–,"2,5",–,"2,3",–,"5,6",–