Source_Page,Table_Index,Party,1947,1947,1950,1950,1954,1954,1958,1958,1962,1962,1966,1966,1970,1970,1975,1975,1980,1980,1985,1985,1990,1990,1995,1995,2000,2000,2005,2005,2010,2010,2012,2012,2017,2017,2022,2022
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Nordrhein-Westfalen,1,Wahlbeteiligung,"67,3",216,"72,3",215,"72,6",200,"76,6",200,"73,4",200,"76,5",200,"73,5",200,"86,1",200,"80,0",201,"75,2",227,"71,8",239,"64,0",221,"56,7",231,"63,0",187,"59,3",181,"59,6",237,"65,2",199,"55,5",195
Nordrhein-Westfalen,1,CDU,"37,6",92,"36,9",93,"41,3",90,"50,5",104,"46,4",96,"42,8",86,"46,3",95,"47,1",95,"43,2",95,"36,5",88,"36,7",90,"37,7",89,"37,0",88,"44,8",89,"34,6",67,"26,3",67,"33,0",72,"35,7",76
Nordrhein-Westfalen,1,SPD,"32,0",64,"32,3",68,"34,5",76,"39,2",81,"43,3",90,"49,5",99,"46,1",94,"45,1",91,"48,4",106,"52,1",125,"50,0",123,"46,0",108,"42,8",102,"37,1",74,"34,5",67,"39,1",99,"31,2",69,"26,7",56
Nordrhein-Westfalen,1,FDP,"5,9",12,"12,1",26,"11,5",25,"7,1",15,"6,8",14,"7,4",15,"5,5",11,"6,7",14,"4,98",–,"6,0",14,"5,8",14,"4,0",–,"9,8",24,"6,2",12,"6,7",13,"8,6",22,"12,6",28,"5,9",12
Nordrhein-Westfalen,1,GRÜNE,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,0",–,"4,6",–,"5,0",12,"10,0",24,"7,1",17,"6,2",12,"12,1",23,"11,3",29,"6,4",14,"18,2",39
Nordrhein-Westfalen,1,DIE LINKE¹,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,1",–,"0,9",–,"5,6",11,"2,5",–,"4,9",–,"2,1",–
Nordrhein-Westfalen,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,6",–,"7,8",20,"1,0",–,"0,3",–
Nordrhein-Westfalen,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"7,4",16,"5,4",12
Nordrhein-Westfalen,1,NPD,–,–,–,–,–,–,–,–,–,–,–,–,"1,1",–,"0,4",–,–,–,–,–,–,–,–,–,"0,0",–,"0,9",–,"0,7",–,"0,5",–,"0,3",–,–,–
Nordrhein-Westfalen,1,KPD/DKP²,"14,0",28,"5,5",12,"3,8",–,–,–,–,–,–,–,"0,9",–,"0,5",–,"0,3",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,0",–,"0,0",–
Nordrhein-Westfalen,1,Zentrum,"9,8",20,"7,5",16,"4,0",9,"1,0",–,"0,9",–,"0,2",–,"0,1",–,–,–,–,–,–,–,–,–,"0,1",–,–,–,"0,0",–,"0,1",–,–,–,"0,0",–,"0,1",–
Nordrhein-Westfalen,1,REP,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,8",–,"0,8",–,"1,1",–,"0,8",–,"0,3",–,–,–,"0,1",–,–,–
Nordrhein-Westfalen,1,Sonstige,"0,7",–,"5,7",–,"4,9",–,"2,2",–,"2,6",–,"0,1",–,–,–,"0,2",–,"0,1",–,"0,8",–,"0,7",–,"1,4",–,"1,0",–,"3,1",–,"3,8",–,"3,8",–,"3,2",–,"5,7",–