Source_Page,Table_Index,Party,1947,1947,1951,1951,1955,1955,1959,1959,1963,1963,1967,1967,1971,1971,1975,1975,1979,1979,1983,1983,1987,1987,1991,1991,1996,1996,2001,2001,2006,2006,2011,2011,2016,2016,2021,2021
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Rheinland-Pfalz,1,Wahlbe­teiligung,"77,9",101,"74,8",100,"76,0",100,"77,2",100,"75,5",100,"78,5",100,"79,4",100,"80,8",100,"81,4",100,"90,4",100,"77,0",100,"73,9",101,"70,8",101,"62,1",101,"58,2",101,"61,8",101,"70,4",101,"64,3",101
Rheinland-Pfalz,1,CDU,"47,2",48,"39,2",43,"46,8",51,"48,4",52,"44,4",46,"46,7",49,"50,0",53,"53,9",55,"50,1",51,"51,9",57,"45,1",48,"38,7",40,"38,7",41,"35,3",38,"32,8",38,"35,2",41,"31,8",35,"27,7",31
Rheinland-Pfalz,1,SPD,"34,3",34,"34,0",38,"31,7",37,"34,9",37,"40,7",43,"36,8",39,"40,5",44,"38,5",40,"42,3",43,"39,6",43,"38,8",40,"44,8",47,"39,8",43,"44,7",49,"45,6",53,"35,7",42,"36,2",39,"35,7",39
Rheinland-Pfalz,1,FDP¹,"9,8",11,"16,7",19,"12,7",12,"9,7",10,"10,1",11,"8,3",8,"5,9",3,"5,6",5,"6,4",6,"3,5",–,"7,3",7,"6,9",7,"8,9",10,"7,8",8,"8,0",10,"4,2",–,"6,2",7,"5,5",6
Rheinland-Pfalz,1,GRÜNE,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"4,5",–,"5,9",5,"6,5",7,"6,9",7,"5,2",6,"4,6",–,"15,4",18,"5,3",6,"9,3",10
Rheinland-Pfalz,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"12,6",14,"8,3",9
Rheinland-Pfalz,1,FREIE WÄHLER,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,5",–,"1,6",–,"2,3",–,"2,2",–,"5,4",6
Rheinland-Pfalz,1,REP,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,0",–,"3,5",–,"2,4",–,"1,7",–,"0,8",–,"0,2",–,–,–
Rheinland-Pfalz,1,DIE LINKE²,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,5",–,"3,0",–,"2,8",–,"2,5",–
Rheinland-Pfalz,1,DRP/NPD³,–,–,"0,5",–,–,–,"5,1",1,"3,2",–,"6,9",4,"2,7",–,"1,1",–,"0,7",–,"0,1",–,"0,8",–,–,–,"0,4",–,"0,5",–,"1,2",–,"1,1",–,"0,5",–,–,–
Rheinland-Pfalz,1,KPD/DKP4,"8,7",8,"4,3",–,"3,2",–,–,–,–,–,–,–,"0,9",–,"0,5",–,"0,4",–,"0,2",–,"0,1",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Rheinland-Pfalz,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,6",–,"0,8",–,"0,5",–
Rheinland-Pfalz,1,Tierschutzpartei,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,7",–
Rheinland-Pfalz,1,DIE PARTEI,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,1",–
Rheinland-Pfalz,1,Volt,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,0",–
Rheinland-Pfalz,1,Sonstige,–,–,"5,3",–,"5,6",–,"1,9",–,"1,5",–,"1,2",–,–,–,"0,3",–,"0,5",–,"0,1",–,"2,0",–,"1,1",–,"1,8",–,"1,5",–,"1,9",–,"0,5",–,"1,3",–,"1,4",–