Source_Page,Table_Index,Party,1947,1947,1952,1952,1955,1955,1960,1960,1965,1965,1970,1970,1975,1975,1980,1980,1985,1985,1990,1990,1994,1994,1999,1999,2004,2004,2009,2009,2012,2012,2017,2017,2022,2022
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Saarland,1,Wahlbe­teiligung,"95,7",50,"93,1",50,"90,3",50,"79,1",50,"81,8",50,"83,1",50,"88,8",50,"85,0",51,"85,0",51,"83,2",51,"83,5",51,"68,7",51,"55,5",51,"67,7",51,"61,6",51,"69,7",51,"61,4",51
Saarland,1,CDU,–,–,–,–,"25,4",14,"36,6",19,"42,7",23,"47,8",27,"49,1",25,"44,0",23,"37,3",20,"33,4",18,"38,6",21,"45,5",26,"47,5",27,"34,5",19,"35,2",19,"40,7",24,"28,5",19
Saarland,1,SPD,–,–,–,–,"14,3",7,"30,0",16,"40,7",21,"40,8",23,"41,8",22,"45,4",24,"49,2",26,"54,4",30,"49,4",27,"44,4",25,"30,8",18,"24,5",13,"30,6",17,"29,6",17,"43,5",29
Saarland,1,DPS/FDP,"7,6",3,–,–,"24,2",13,"13,8",7,"8,3",4,"4,4",–,"7,4",3,"6,9",4,"10,0",5,"5,6",3,"2,1",–,"2,6",–,"5,2",3,"9,2",5,"1,2",–,"3,3",–,"4,8",–
Saarland,1,GRÜNE,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,9",–,"2,5",–,"2,6",–,"5,5",3,"3,2",–,"5,6",3,"5,9",3,"5,0",2,"4,0",–,"4,995",–
Saarland,1,DIE LINKE¹,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,8",–,"2,3",–,"21,3",11,"16,1",9,"12,8",7,"2,6",–
Saarland,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"7,4",4,"0,7",–,"0,3",–
Saarland,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"6,2",3,"5,7",3
Saarland,1,NPD,–,–,–,–,–,–,–,–,–,–,"3,4",–,"0,7",–,–,–,"0,7",–,"0,2",–,–,–,–,–,"4,0",–,"1,5",–,"1,2",–,"0,7",–,–,–
Saarland,1,REP,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,4",–,"1,4",–,"1,3",–,–,–,–,–,–,–,–,–,–,–
Saarland,1,FAMILIE,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,0",–,"2,0",–,"1,7",–,"0,8",–,"0,8",–
Saarland,1,CVP,"51,2",28,"54,7",29,"21,8",12,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Saarland,1,SPS,"32,8",17,"32,4",17,"5,8",2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Saarland,1,KP/DKP²,"8,4",2,"9,5",4,"6,6",2,–,–,–,–,"2,7",–,"1,0",–,"0,5",–,"0,3",–,"0,1",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Saarland,1,SVP³,–,–,–,–,–,–,"11,4",6,"5,2",2,"0,9",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Saarland,1,DDU,–,–,–,–,"0,9",–,"5,0",2,"3,1",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Saarland,1,Sonstige,–,–,"3,4",–,"1,0",–,"3,2",–,–,–,–,–,–,–,"0,3",–,–,–,"0,2",–,"3,0",–,"2,2",–,"1,6",–,"1,1",–,"1,5",–,"1,1",–,"8,8",–